"Name","Source","Rarity","Type","Attunement","Properties","Weight","Value","Text"
"Painter's Supplies","PHB","none","artisan's tools","","","5 lb.","10 gp","Proficiency with painter's supplies represents your ability to paint and draw. You also acquire an understanding of art history, which can aid you in examining works of art. Components. Painter's supplies include an easel, canvas, paints, brushes, charcoal sticks, and a palette. Arcana, History, Religion. Your expertise aids you in uncovering lore of any sort that is attached to a work of art, such as the magical properties of a painting or the origins of a strange mural found in a dungeon. Investigation, Perception. When you inspect a painting or a similar work of visual art, your knowledge of the practices behind creating it can grant you additional insight. Painting and Drawing. As part of a short or long rest, you can produce a simple work of art. Although your work might lack precision, you can capture an image or a scene, or make a quick copy of a piece of art you saw.Painter's SuppliesActivityDCPaint an accurate portrait10Create a painting with a hidden message20See the Tool Proficiencies entry for more information."
"Pan Flute","PHB","none","instrument","","","2 lb.","12 gp","See the Tool Proficiencies entry for more information.Proficiency with a musical instrument indicates you are familiar with the techniques used to play it. You also have knowledge of some songs commonly performed with that instrument. History. Your expertise aids you in recalling lore related to your instrument. Performance. Your ability to put on a good show is improved when you incorporate an instrument into your act. Compose a Tune. As part of a long rest, you can compose a new tune and lyrics for your instrument. You might use this ability to impress a noble or spread scandalous rumors with a catchy tune.Musical InstrumentActivityDCIdentify a tune10Improvise a tune20"
"Paper (one sheet)","PHB","none","adventuring gear","","","","2 sp",""
"Parchment (one sheet)","PHB","none","adventuring gear","","","","1 sp",""
"Pepper","PHB","none","trade good","","","1 lb.","2 gp",""
"Perfume (vial)","PHB","none","adventuring gear","","","","5 gp",""
"Pig","PHB","none","trade good","","","","3 gp",""
"Pike","PHB","none","martial weapon, melee weapon","","1d10, piercing, - heavy, reach, two-handed","18 lb.","5 gp","Heavy. Creatures that are Small or Tiny have disadvantage on attack rolls with heavy weapons. A heavy weapon's size and bulk make it too large for a Small or Tiny creature to use effectively. Reach. This weapon adds 5 feet to your reach when you attack with it. This property also determines your reach for opportunity attacks with a reach weapon. Two-Handed. This weapon requires two hands to use. This property is relevant only when you attack with the weapon, not when you simply hold it."
"Pitcher","PHB","none","adventuring gear","","","4 lb.","2 cp","A pitcher holds 1 gallon of liquid."
"Piton","PHB","none","adventuring gear","","","¼ lb.","5 cp",""
"Plate Armor","PHB","none","heavy armor","","AC 18","65 lb.","1500 gp","Plate consists of shaped, interlocking metal plates to cover the entire body. A suit of plate includes gauntlets, heavy leather boots, a visored helmet, and thick layers of padding underneath the armor. Buckles and straps distribute the weight over the body.The wearer has disadvantage on Dexterity (Stealth) checks.If the wearer has a Strength score lower than 15, their speed is reduced by 10 feet."
"Plate Barding","PHB","none","tack and harness","","AC 18","130 lb.","6000 gp","Barding is armor designed to protect an animal's head, neck, chest, and body. Any type of armor shown on the Armor table in this chapter can be purchased as barding. The cost is four times the equivalent armor made for humanoids, and it weighs twice as much.Plate consists of shaped, interlocking metal plates to cover the entire body. A suit of plate includes gauntlets, heavy leather boots, a visored helmet, and thick layers of padding underneath the armor. Buckles and straps distribute the weight over the body."
"Platinum","PHB","none","trade good","","","1 lb.","500 gp",""
"Platinum (pp)","PHB","none","treasure","","","0.32 oz.","10 gp","Common coins come in several different denominations based on the relative worth of the metal from which they are made. The three most common coins are the gold piece (gp), the silver piece (sp), and the copper piece (cp).With one gold piece, a character can buy a belt pouch, 50 feet of good rope, or a goat. A skilled (but not exceptional) artisan can earn one gold piece a day. The gold piece is the standard unit of measure for wealth, even if the coin itself is not commonly used. When merchants discuss deals that involve goods or services worth hundreds or thousands of gold pieces, the transactions don't usually involve the exchange of individual coins. Rather, the gold piece is a standard measure of value, and the actual exchange is in gold bars, letters of credit, or valuable goods.One gold piece is worth ten silver pieces, the most prevalent coin among commoners. A silver piece buys a laborer's work for a day, a flask of lamp oil, or a night's rest in a poor inn.One silver piece is worth ten copper pieces, which are common among laborers and beggars. A single copper piece buys a candle, a torch, or a piece of chalk.In addition, unusual coins made of other precious metals sometimes appear in treasure hoards. The electrum piece (ep) and the platinum piece (pp) originate from fallen empires and lost kingdoms, and they sometimes arouse suspicion and skepticism when used in transactions. An electrum piece is worth five silver pieces, and a platinum piece is worth ten gold pieces.A standard coin weighs about a third of an ounce, so fifty coins weigh a pound."
"Playing Card Set","PHB","none","gaming set","","","","5 sp","See the Tool Proficiencies entry for more information.Proficiency with a gaming set applies to one type of game, such as Three-Dragon Ante or games of chance that use dice. Components. A gaming set has all the pieces needed to play a specific game or type of game, such as a complete deck of cards or a board and tokens. History. Your mastery of a game includes knowledge of its history, as well as of important events it was connected to or prominent historical figures involved with it. Insight. Playing games with someone is a good way to gain understanding of their personality, granting you a better ability to discern their lies from their truths and read their mood. Sleight of Hand. Sleight of Hand is a useful skill for cheating at a game, as it allows you to swap pieces, palm cards, or alter a die roll. Alternatively, engrossing a target in a game by manipulating the components with dexterous movements is a great distraction for a pickpocketing attempt.Gaming SetActivityDCCatch a player cheating15Gain insight into an opponent's personality15"
"Poisoner's Kit","PHB","none","tools","","","2 lb.","50 gp","A poisoner's kit includes the vials, chemicals, and other equipment necessary for the creation of poisons. Proficiency with this kit lets you add your proficiency bonus to any ability checks you make to craft or use poisons.Additionally, the Crafting and Harvesting Poison rules require the use of a poisoner's kit.A poisoner's kit is a favored resource for thieves, assassins, and others who engage in skulduggery. It allows you to apply poisons and create them from various materials. Your knowledge of poisons also helps you treat them. Components. A poisoner's kit includes glass vials, a mortar and pestle, chemicals, and a glass stirring rod. History. Your training with poisons can help you when you try to recall facts about infamous poisonings. Investigation, Perception. Your knowledge of poisons has taught you to handle those substances carefully, giving you an edge when you inspect poisoned objects or try to extract clues from events that involve poison. Medicine. When you treat the victim of a poison, your knowledge grants you added insight into how to provide the best care to your patient. Nature, Survival. Working with poisons enables you to acquire lore about which plants and animals are poisonous. Handle Poison. Your proficiency allows you to handle and apply a poison without risk of exposing yourself to its effects.Poisoner's ToolsActivityDCSpot a poisoned object10Determine the effects of a poison20See the Tool Proficiencies entry for more information."
"Pole (10-foot)","PHB","none","adventuring gear","","","7 lb.","5 cp",""
"Pony","PHB","none","mount","","Speed: 40, Carrying Capacity: 225 lb.","","30 gp",""
"Portable Ram","PHB","none","adventuring gear","","","35 lb.","4 gp","You can use a portable ram to break down doors. When doing so, you gain a +4 bonus on the Strength check. One other character can help you use the ram, giving you advantage on this check."
"Potter's Tools","PHB","none","artisan's tools","","","3 lb.","10 gp","Potter's tools are used to create a variety of ceramic objects, most typically pots and similar vessels. Components. Potter's tools include potter's needles, ribs, scrapers, a knife, and calipers. History. Your expertise aids you in identifying ceramic objects, including when they were created and their likely place or culture of origin. Investigation, Perception. You gain additional insight when inspecting ceramics, uncovering clues others would overlook by spotting minor irregularities. Reconstruction. By examining pottery shards, you can determine an object's original, intact form and its likely purpose.Potter's ToolsActivityDCDetermine what a vessel once held10Create a serviceable pot15Find a weak point in a ceramic object20See the Tool Proficiencies entry for more information."
"Pouch","PHB","none","adventuring gear","","","1 lb.","5 sp","A cloth or leather pouch can hold up to 20 sling bullets or 50 blowgun needles, among other things. A compartmentalized pouch for holding spell components is called a component pouch. A pouch can hold up to ⅕ cubic foot or 6 pounds of gear."
"Priest's Pack","PHB","none","adventuring gear","","","24 lb.","19 gp","Includes:a backpacka blanket10 candlesa tinderboxan alms box2 blocks of incensea censervestments2 days of rationsa waterskin."
"Quarterstaff","PHB","none","simple weapon, melee weapon","","1d6, bludgeoning, - versatile (1d8)","4 lb.","2 sp","Versatile. This weapon can be used with one or two hands. A damage value in parentheses appears with the property—the damage when the weapon is used with two hands to make a melee attack."
"Quiver","PHB","none","adventuring gear","","","1 lb.","1 gp","A quiver can hold up to 20 arrows."
"Rapier","PHB","none","martial weapon, melee weapon","","1d8, piercing, - finesse","2 lb.","25 gp","Finesse. When making an attack with a finesse weapon, you use your choice of your Strength or Dexterity modifier for the attack and damage rolls. You must use the same modifier for both rolls."
"Rations (1 day)","PHB","none","adventuring gear","","","2 lb.","5 sp","Rations consist of dry foods suitable for extended travel, including jerky, dried fruit, hardtack, and nuts."
"Reliquary","PHB","none","spellcasting focus","","","2 lb.","5 gp","A holy symbol is a representation of a god or pantheon.A cleric or paladin can use a holy symbol as a spellcasting focus. To use the symbol in this way, the caster must hold it in hand, wear it visibly, or bear it on a shield."
"Riding Horse","PHB","none","mount","","Speed: 60, Carrying Capacity: 480 lb.","","75 gp",""
"Riding Saddle","PHB","none","tack and harness","","","25 lb.","10 gp",""
"Ring Mail","PHB","none","heavy armor","","AC 14","40 lb.","30 gp","This armor is leather armor with heavy rings sewn into it. The rings help reinforce the armor against blows from swords and axes. Ring mail is inferior to chain mail, and it's usually worn only by those who can't afford better armor.The wearer has disadvantage on Dexterity (Stealth) checks."
"Ring Mail Barding","PHB","none","tack and harness","","AC 14","80 lb.","120 gp","Barding is armor designed to protect an animal's head, neck, chest, and body. Any type of armor shown on the Armor table in this chapter can be purchased as barding. The cost is four times the equivalent armor made for humanoids, and it weighs twice as much.This armor is leather armor with heavy rings sewn into it. The rings help reinforce the armor against blows from swords and axes. Ring mail is inferior to chain mail, and it's usually worn only by those who can't afford better armor."
"Robes","PHB","none","adventuring gear","","","4 lb.","1 gp",""
"Rod","PHB","none","spellcasting focus","","","2 lb.","10 gp","An arcane focus is a special item designed to channel the power of arcane spells. A sorcerer, warlock, or wizard can use such an item as a spellcasting focus."
"Sack","PHB","none","adventuring gear","","","½ lb.","1 cp","A sack can hold up to 1 cubic foot or 30 pounds of gear."
"Saddlebags","PHB","none","tack and harness","","","8 lb.","4 gp",""
"Saffron","PHB","none","trade good","","","1 lb.","15 gp",""
"Salt","PHB","none","trade good","","","1 lb.","5 cp",""
"Scale Mail","PHB","none","medium armor","","AC 14 + Dex (max 2)","45 lb.","50 gp","This armor consists of a coat and leggings (and perhaps a separate skirt) of leather covered with overlapping pieces of metal, much like the scales of a fish. The suit includes gauntlets.The wearer has disadvantage on Dexterity (Stealth) checks."
"Scale Mail Barding","PHB","none","tack and harness","","AC 14","90 lb.","200 gp","Barding is armor designed to protect an animal's head, neck, chest, and body. Any type of armor shown on the Armor table in this chapter can be purchased as barding. The cost is four times the equivalent armor made for humanoids, and it weighs twice as much.This armor consists of a coat and leggings (and perhaps a separate skirt) of leather covered with overlapping pieces of metal, much like the scales of a fish. The suit includes gauntlets."
"Scholar's Pack","PHB","none","adventuring gear","","","10 lb.","40 gp","Includes:a backpacka book of lorea bottle of inkan ink pen10 sheets of parchmenta little bag of sanda small knife."
"Scimitar","PHB","none","martial weapon, melee weapon","","1d6, slashing, - finesse, light","3 lb.","25 gp","Finesse. When making an attack with a finesse weapon, you use your choice of your Strength or Dexterity modifier for the attack and damage rolls. You must use the same modifier for both rolls. Light. A light weapon is small and easy to handle, making it ideal for use when fighting with two weapons."
"Sealing Wax","PHB","none","adventuring gear","","","","5 sp",""
"Shawm","PHB","none","instrument","","","1 lb.","2 gp","See the Tool Proficiencies entry for more information.Proficiency with a musical instrument indicates you are familiar with the techniques used to play it. You also have knowledge of some songs commonly performed with that instrument. History. Your expertise aids you in recalling lore related to your instrument. Performance. Your ability to put on a good show is improved when you incorporate an instrument into your act. Compose a Tune. As part of a long rest, you can compose a new tune and lyrics for your instrument. You might use this ability to impress a noble or spread scandalous rumors with a catchy tune.Musical InstrumentActivityDCIdentify a tune10Improvise a tune20"
"Sheep","PHB","none","trade good","","","","2 gp",""
"Shield","PHB","none","armor (shield)","","AC +2","6 lb.","10 gp","A shield is made from wood or metal and is carried in one hand. Wielding a shield increases your Armor Class by 2. You can benefit from only one shield at a time."
"Shortbow","PHB","none","simple weapon, ranged weapon","","1d6, piercing, - ammunition (80/320 ft.), two-handed","2 lb.","25 gp","Ammunition. You can use a weapon that has the ammunition property to make a ranged attack only if you have ammunition to fire from the weapon. Each time you attack with the weapon, you expend one piece of ammunition. Drawing the ammunition from a quiver, case, or other container is part of the attack. Loading a one-handed weapon requires a free hand. At the end of the battle, you can recover half your expended ammunition by taking a minute to search the battlefield.If you use a weapon that has the ammunition property to make a melee attack, you treat the weapon as an improvised weapon. A sling must be loaded to deal any damage when used in this way. Two-Handed. This weapon requires two hands to use. This property is relevant only when you attack with the weapon, not when you simply hold it."
"Shortsword","PHB","none","martial weapon, melee weapon","","1d6, piercing, - finesse, light","2 lb.","10 gp","Finesse. When making an attack with a finesse weapon, you use your choice of your Strength or Dexterity modifier for the attack and damage rolls. You must use the same modifier for both rolls. Light. A light weapon is small and easy to handle, making it ideal for use when fighting with two weapons."
"Shovel","PHB","none","adventuring gear","","","5 lb.","2 gp",""
"Sickle","PHB","none","simple weapon, melee weapon","","1d4, slashing, - light","2 lb.","1 gp","Light. A light weapon is small and easy to handle, making it ideal for use when fighting with two weapons."
"Signal Whistle","PHB","none","adventuring gear","","","","5 cp",""
"Signet Ring","PHB","none","adventuring gear","","","","5 gp",""
"Silk (1 sq. yd.)","PHB","none","trade good","","","","10 gp",""
"Silk Rope (50 feet)","PHB","none","adventuring gear","","","5 lb.","10 gp","Rope, whether made of hemp or silk, has 2 hit points and can be burst with a DC 17 Strength check."
"Silver","PHB","none","trade good","","","1 lb.","5 gp",""
"Silver (sp)","PHB","none","treasure","","","0.32 oz.","1 sp","Common coins come in several different denominations based on the relative worth of the metal from which they are made. The three most common coins are the gold piece (gp), the silver piece (sp), and the copper piece (cp).With one gold piece, a character can buy a belt pouch, 50 feet of good rope, or a goat. A skilled (but not exceptional) artisan can earn one gold piece a day. The gold piece is the standard unit of measure for wealth, even if the coin itself is not commonly used. When merchants discuss deals that involve goods or services worth hundreds or thousands of gold pieces, the transactions don't usually involve the exchange of individual coins. Rather, the gold piece is a standard measure of value, and the actual exchange is in gold bars, letters of credit, or valuable goods.One gold piece is worth ten silver pieces, the most prevalent coin among commoners. A silver piece buys a laborer's work for a day, a flask of lamp oil, or a night's rest in a poor inn.One silver piece is worth ten copper pieces, which are common among laborers and beggars. A single copper piece buys a candle, a torch, or a piece of chalk.In addition, unusual coins made of other precious metals sometimes appear in treasure hoards. The electrum piece (ep) and the platinum piece (pp) originate from fallen empires and lost kingdoms, and they sometimes arouse suspicion and skepticism when used in transactions. An electrum piece is worth five silver pieces, and a platinum piece is worth ten gold pieces.A standard coin weighs about a third of an ounce, so fifty coins weigh a pound."
"Silvered Ammunition","PHB","unknown","ammunition, generic variant","","","","","Some monsters that have immunity or resistance to nonmagical weapons are susceptible to silver ammunition, so cautious adventurers invest extra coin to plate their ammunition in silver. You can silver ten pieces of ammunition for 100 gp. This cost represents not only the price of the silver, but the time and expertise needed to add silver to the ammunition without making it less effective. Base items. This item variant can be applied to the following base items:Arrow (Silvered Arrow)Blowgun Needle (Silvered Blowgun Needle)Crossbow Bolt (Silvered Crossbow Bolt)Modern Bullet (Silvered Modern Bullet)Renaissance Bullet (Silvered Renaissance Bullet)Sling Bullet (Silvered Sling Bullet)"
"Silvered Antimatter Rifle","PHB","unknown","firearm, futuristic, martial weapon, ranged weapon","","6d8, necrotic, - ammunition (120/360 ft.), reload (2 shots), two-handed","10 lb.","","Ammunition. You can use a weapon that has the ammunition property to make a ranged attack only if you have ammunition to fire from the weapon. Each time you attack with the weapon, you expend one piece of ammunition. Drawing the ammunition from a quiver, case, or other container is part of the attack. Loading a one-handed weapon requires a free hand. The ammunition of a firearm is destroyed upon use.If you use a weapon that has the ammunition property to make a melee attack, you treat the weapon as an improvised weapon. A sling must be loaded to deal any damage when used in this way. Reload. A limited number of shots can be made with a weapon that has the reload property. A character must then reload it using an action or a bonus action (the character's choice). Two-Handed. This weapon requires two hands to use. This property is relevant only when you attack with the weapon, not when you simply hold it."
"Silvered Arrow","PHB","unknown","ammunition","","","0.8 oz.","",""
"Silvered Automatic Pistol","PHB","unknown","firearm, modern, martial weapon, ranged weapon","","2d6, piercing, - ammunition (50/150 ft.), reload (15 shots)","3 lb.","","Ammunition. You can use a weapon that has the ammunition property to make a ranged attack only if you have ammunition to fire from the weapon. Each time you attack with the weapon, you expend one piece of ammunition. Drawing the ammunition from a quiver, case, or other container is part of the attack. Loading a one-handed weapon requires a free hand. The ammunition of a firearm is destroyed upon use.If you use a weapon that has the ammunition property to make a melee attack, you treat the weapon as an improvised weapon. A sling must be loaded to deal any damage when used in this way. Reload. A limited number of shots can be made with a weapon that has the reload property. A character must then reload it using an action or a bonus action (the character's choice)."
"Silvered Automatic Rifle","PHB","unknown","firearm, modern, martial weapon, ranged weapon","","2d8, piercing, - ammunition (80/240 ft.), burst fire, reload (30 shots), two-handed","8 lb.","","Ammunition. You can use a weapon that has the ammunition property to make a ranged attack only if you have ammunition to fire from the weapon. Each time you attack with the weapon, you expend one piece of ammunition. Drawing the ammunition from a quiver, case, or other container is part of the attack. Loading a one-handed weapon requires a free hand. The ammunition of a firearm is destroyed upon use.If you use a weapon that has the ammunition property to make a melee attack, you treat the weapon as an improvised weapon. A sling must be loaded to deal any damage when used in this way. Burst Fire. A weapon that has the burst fire property can make a single-target attack, or it can spray a 10-foot-cube area within normal range with shots. Each creature in the area must succeed on a DC 15 Dexterity saving throw or take the weapon's normal damage. This action uses ten pieces of ammunition. Reload. A limited number of shots can be made with a weapon that has the reload property. A character must then reload it using an action or a bonus action (the character's choice). Two-Handed. This weapon requires two hands to use. This property is relevant only when you attack with the weapon, not when you simply hold it."
"Silvered Battleaxe","PHB","unknown","martial weapon, melee weapon","","1d8, slashing, - versatile (1d10)","4 lb.","110 gp","Versatile. This weapon can be used with one or two hands. A damage value in parentheses appears with the property—the damage when the weapon is used with two hands to make a melee attack."
"Silvered Blowgun","PHB","unknown","martial weapon, ranged weapon","","1, piercing, - ammunition (25/100 ft.), loading","1 lb.","110 gp","Ammunition. You can use a weapon that has the ammunition property to make a ranged attack only if you have ammunition to fire from the weapon. Each time you attack with the weapon, you expend one piece of ammunition. Drawing the ammunition from a quiver, case, or other container is part of the attack. Loading a one-handed weapon requires a free hand. At the end of the battle, you can recover half your expended ammunition by taking a minute to search the battlefield.If you use a weapon that has the ammunition property to make a melee attack, you treat the weapon as an improvised weapon. A sling must be loaded to deal any damage when used in this way. Loading. Because of the time required to load this weapon, you can fire only one piece of ammunition from it when you use an action, bonus action, or reaction to fire it, regardless of the number of attacks you can normally make."
"Silvered Blowgun Needle","PHB","unknown","ammunition","","","0.32 oz.","",""
"Silvered Club","PHB","unknown","simple weapon, melee weapon","","1d4, bludgeoning, - light","2 lb.","100 gp, 1 sp","Light. A light weapon is small and easy to handle, making it ideal for use when fighting with two weapons."
"Silvered Crossbow Bolt","PHB","unknown","ammunition","","","1.2 oz.","",""
"Silvered Dagger","PHB","unknown","simple weapon, melee weapon","","1d4, piercing, - finesse, light, thrown (20/60 ft.)","1 lb.","102 gp","Finesse. When making an attack with a finesse weapon, you use your choice of your Strength or Dexterity modifier for the attack and damage rolls. You must use the same modifier for both rolls. Light. A light weapon is small and easy to handle, making it ideal for use when fighting with two weapons. Thrown. If a weapon has the thrown property, you can throw the weapon to make a ranged attack. If the weapon is a melee weapon, you use the same ability modifier for that attack roll and damage roll that you would use for a melee attack with the weapon. For example, if you throw a handaxe, you use your Strength, but if you throw a dagger, you can use either your Strength or your Dexterity, since the dagger has the finesse property."
"Silvered Dart","PHB","unknown","simple weapon, ranged weapon","","1d4, piercing, - finesse, thrown (20/60 ft.)","¼ lb.","100 gp, 5 cp","Finesse. When making an attack with a finesse weapon, you use your choice of your Strength or Dexterity modifier for the attack and damage rolls. You must use the same modifier for both rolls. Thrown. If a weapon has the thrown property, you can throw the weapon to make a ranged attack. If the weapon is a melee weapon, you use the same ability modifier for that attack roll and damage roll that you would use for a melee attack with the weapon. For example, if you throw a handaxe, you use your Strength, but if you throw a dagger, you can use either your Strength or your Dexterity, since the dagger has the finesse property."
"Silvered Double-Bladed Scimitar","PHB","unknown","martial weapon, melee weapon","","2d4, slashing, - special, two-handed","6 lb.","200 gp","The base item can be found in Eberron: Rising from the Last War, page 21. Special. If you attack with a double-bladed scimitar as part of the Attack action on your turn, you can use a bonus action immediately after to make a melee attack with it. This attack deals 1d4 slashing damage on a hit, instead of 2d4. Two-Handed. This weapon requires two hands to use. This property is relevant only when you attack with the weapon, not when you simply hold it."
"Silvered Flail","PHB","unknown","martial weapon, melee weapon","","1d8, bludgeoning","2 lb.","110 gp",""
"Silvered Glaive","PHB","unknown","martial weapon, melee weapon","","1d10, slashing, - heavy, reach, two-handed","6 lb.","120 gp","Heavy. Creatures that are Small or Tiny have disadvantage on attack rolls with heavy weapons. A heavy weapon's size and bulk make it too large for a Small or Tiny creature to use effectively. Reach. This weapon adds 5 feet to your reach when you attack with it. This property also determines your reach for opportunity attacks with a reach weapon. Two-Handed. This weapon requires two hands to use. This property is relevant only when you attack with the weapon, not when you simply hold it."
"Silvered Greataxe","PHB","unknown","martial weapon, melee weapon","","1d12, slashing, - heavy, two-handed","7 lb.","130 gp","Heavy. Creatures that are Small or Tiny have disadvantage on attack rolls with heavy weapons. A heavy weapon's size and bulk make it too large for a Small or Tiny creature to use effectively. Two-Handed. This weapon requires two hands to use. This property is relevant only when you attack with the weapon, not when you simply hold it."
"Silvered Greatclub","PHB","unknown","simple weapon, melee weapon","","1d8, bludgeoning, - two-handed","10 lb.","100 gp, 2 sp","Two-Handed. This weapon requires two hands to use. This property is relevant only when you attack with the weapon, not when you simply hold it."
"Silvered Greatsword","PHB","unknown","martial weapon, melee weapon","","2d6, slashing, - heavy, two-handed","6 lb.","150 gp","Heavy. Creatures that are Small or Tiny have disadvantage on attack rolls with heavy weapons. A heavy weapon's size and bulk make it too large for a Small or Tiny creature to use effectively. Two-Handed. This weapon requires two hands to use. This property is relevant only when you attack with the weapon, not when you simply hold it."
"Silvered Halberd","PHB","unknown","martial weapon, melee weapon","","1d10, slashing, - heavy, reach, two-handed","6 lb.","120 gp","Heavy. Creatures that are Small or Tiny have disadvantage on attack rolls with heavy weapons. A heavy weapon's size and bulk make it too large for a Small or Tiny creature to use effectively. Reach. This weapon adds 5 feet to your reach when you attack with it. This property also determines your reach for opportunity attacks with a reach weapon. Two-Handed. This weapon requires two hands to use. This property is relevant only when you attack with the weapon, not when you simply hold it."
"Silvered Hand Crossbow","PHB","unknown","martial weapon, ranged weapon","","1d6, piercing, - ammunition (30/120 ft.), light, loading","3 lb.","175 gp","Ammunition. You can use a weapon that has the ammunition property to make a ranged attack only if you have ammunition to fire from the weapon. Each time you attack with the weapon, you expend one piece of ammunition. Drawing the ammunition from a quiver, case, or other container is part of the attack. Loading a one-handed weapon requires a free hand. At the end of the battle, you can recover half your expended ammunition by taking a minute to search the battlefield.If you use a weapon that has the ammunition property to make a melee attack, you treat the weapon as an improvised weapon. A sling must be loaded to deal any damage when used in this way. Light. A light weapon is small and easy to handle, making it ideal for use when fighting with two weapons. Loading. Because of the time required to load this weapon, you can fire only one piece of ammunition from it when you use an action, bonus action, or reaction to fire it, regardless of the number of attacks you can normally make."
"Silvered Handaxe","PHB","unknown","simple weapon, melee weapon","","1d6, slashing, - light, thrown (20/60 ft.)","2 lb.","105 gp","Light. A light weapon is small and easy to handle, making it ideal for use when fighting with two weapons. Thrown. If a weapon has the thrown property, you can throw the weapon to make a ranged attack. If the weapon is a melee weapon, you use the same ability modifier for that attack roll and damage roll that you would use for a melee attack with the weapon. For example, if you throw a handaxe, you use your Strength, but if you throw a dagger, you can use either your Strength or your Dexterity, since the dagger has the finesse property."
"Silvered Heavy Crossbow","PHB","unknown","martial weapon, ranged weapon","","1d10, piercing, - ammunition (100/400 ft.), heavy, loading, two-handed","18 lb.","150 gp","Ammunition. You can use a weapon that has the ammunition property to make a ranged attack only if you have ammunition to fire from the weapon. Each time you attack with the weapon, you expend one piece of ammunition. Drawing the ammunition from a quiver, case, or other container is part of the attack. Loading a one-handed weapon requires a free hand. At the end of the battle, you can recover half your expended ammunition by taking a minute to search the battlefield.If you use a weapon that has the ammunition property to make a melee attack, you treat the weapon as an improvised weapon. A sling must be loaded to deal any damage when used in this way. Heavy. Creatures that are Small or Tiny have disadvantage on attack rolls with heavy weapons. A heavy weapon's size and bulk make it too large for a Small or Tiny creature to use effectively. Loading. Because of the time required to load this weapon, you can fire only one piece of ammunition from it when you use an action, bonus action, or reaction to fire it, regardless of the number of attacks you can normally make. Two-Handed. This weapon requires two hands to use. This property is relevant only when you attack with the weapon, not when you simply hold it."
"Silvered Hooked Shortspear","PHB","unknown","martial weapon, melee weapon","","1d4, piercing, - light","2 lb.","","The base item can be found in Out of the Abyss, page 224.On a hit with this weapon, the wielder can forgo dealing damage and attempt to trip the target, in which case the target must succeed on a Strength saving throw or fall prone. The DC is 8 + the wielder's Strength modifier + the wielder's proficiency bonus. Light. A light weapon is small and easy to handle, making it ideal for use when fighting with two weapons."
"Silvered Hunting Rifle","PHB","unknown","firearm, modern, martial weapon, ranged weapon","","2d10, piercing, - ammunition (80/240 ft.), reload (5 shots), two-handed","8 lb.","","Ammunition. You can use a weapon that has the ammunition property to make a ranged attack only if you have ammunition to fire from the weapon. Each time you attack with the weapon, you expend one piece of ammunition. Drawing the ammunition from a quiver, case, or other container is part of the attack. Loading a one-handed weapon requires a free hand. The ammunition of a firearm is destroyed upon use.If you use a weapon that has the ammunition property to make a melee attack, you treat the weapon as an improvised weapon. A sling must be loaded to deal any damage when used in this way. Reload. A limited number of shots can be made with a weapon that has the reload property. A character must then reload it using an action or a bonus action (the character's choice). Two-Handed. This weapon requires two hands to use. This property is relevant only when you attack with the weapon, not when you simply hold it."
"Silvered Javelin","PHB","unknown","simple weapon, melee weapon","","1d6, piercing, - thrown (30/120 ft.)","2 lb.","100 gp, 5 sp","Thrown. If a weapon has the thrown property, you can throw the weapon to make a ranged attack. If the weapon is a melee weapon, you use the same ability modifier for that attack roll and damage roll that you would use for a melee attack with the weapon. For example, if you throw a handaxe, you use your Strength, but if you throw a dagger, you can use either your Strength or your Dexterity, since the dagger has the finesse property."
"Silvered Lance","PHB","unknown","martial weapon, melee weapon","","1d12, piercing, - reach, special","6 lb.","110 gp","Special. You have disadvantage when you use a lance to attack a target within 5 feet of you. Also, a lance requires two hands to wield when you aren't mounted. Reach. This weapon adds 5 feet to your reach when you attack with it. This property also determines your reach for opportunity attacks with a reach weapon."
"Silvered Laser Pistol","PHB","unknown","firearm, futuristic, martial weapon, ranged weapon","","3d6, radiant, - ammunition (30/120 ft.), reload (50 shots)","2 lb.","","Ammunition. You can use a weapon that has the ammunition property to make a ranged attack only if you have ammunition to fire from the weapon. Each time you attack with the weapon, you expend one piece of ammunition. Drawing the ammunition from a quiver, case, or other container is part of the attack. Loading a one-handed weapon requires a free hand. The ammunition of a firearm is destroyed upon use.If you use a weapon that has the ammunition property to make a melee attack, you treat the weapon as an improvised weapon. A sling must be loaded to deal any damage when used in this way. Reload. A limited number of shots can be made with a weapon that has the reload property. A character must then reload it using an action or a bonus action (the character's choice)."
"Silvered Laser Rifle","PHB","unknown","firearm, futuristic, martial weapon, ranged weapon","","3d8, radiant, - ammunition (100/300 ft.), reload (30 shots), two-handed","7 lb.","","Ammunition. You can use a weapon that has the ammunition property to make a ranged attack only if you have ammunition to fire from the weapon. Each time you attack with the weapon, you expend one piece of ammunition. Drawing the ammunition from a quiver, case, or other container is part of the attack. Loading a one-handed weapon requires a free hand. The ammunition of a firearm is destroyed upon use.If you use a weapon that has the ammunition property to make a melee attack, you treat the weapon as an improvised weapon. A sling must be loaded to deal any damage when used in this way. Reload. A limited number of shots can be made with a weapon that has the reload property. A character must then reload it using an action or a bonus action (the character's choice). Two-Handed. This weapon requires two hands to use. This property is relevant only when you attack with the weapon, not when you simply hold it."
